Date;Open;High;Low;Close;Volume;Adj Close;Y_t
8-8-2002;876.77002;905.84003;875.16998;905.46002;1646700000;905.46002;-0.1523
7-8-2002;859.57001;878.73999;854.15002;876.77002;1490400000;876.77002;-1.3984
6-8-2002;834.59998;874.44;834.59998;859.57001;1514100000;859.57001;-0.8604
5-8-2002;864.23999;864.23999;833.44;834.59998;1425500000;834.59998;-1.2803
2-8-2002;884.40002;884.71997;853.95001;864.23999;1538100000;864.23999;1.5156
1-8-2002;911.62;911.62;882.47998;884.65997;1672200000;884.65997;1.0142
31-7-2002;902.78003;911.64001;889.88;911.62;2049360000;911.62;1.3037
30-7-2002;898.96002;909.81;884.70001;902.78003;1826090000;902.78003;-0.4232
29-7-2002;852.84003;898.96002;852.84003;898.96002;1778650000;898.96002;-0.1842
26-7-2002;838.67999;852.84998;835.91998;852.84003;1796100000;852.84003;-2.2873
25-7-2002;843.41998;853.83002;816.10999;838.67999;2424700000;838.67999;-0.7271
24-7-2002;797.71002;844.32001;775.67999;843.42999;2775560000;843.42999;0.2453
23-7-2002;819.84998;827.69;796.13;797.70001;2441020000;797.70001;-2.4209
22-7-2002;847.76001;854.13;813.26001;819.84998;2248060000;819.84998;1.1895
19-7-2002;881.56;881.56;842.07001;847.75;2654100000;847.75;1.4533
18-7-2002;905.45001;907.79999;880.59998;881.56;1736300000;881.56;1.6984
17-7-2002;901.04999;926.52002;895.03003;906.03998;2566500000;906.03998;1.1895
16-7-2002;917.92999;918.65002;897.13;900.94;1843700000;900.94;-0.2451
15-7-2002;921.39001;921.39001;876.46002;917.92999;2574800000;917.92999;0.8114
12-7-2002;927.37;934.31;913.71002;921.39001;1607400000;921.39001;0.1634
11-7-2002;920.46997;929.15997;900.94;927.37;2080480000;927.37;0.2810
10-7-2002;952.83002;956.34003;920.28998;920.46997;1816900000;920.46997;-0.3243
9-7-2002;976.97998;979.63;951.71002;952.83002;1348900000;952.83002;1.5006
8-7-2002;989.03003;993.56;972.90997;976.97998;1184400000;976.97998;1.0870
5-7-2002;953.98999;989.07001;953.98999;989.03003;699400000;989.03003;0.5324
3-7-2002;948.09003;954.29999;934.87;953.98999;1527800000;953.98999;-1.5666
2-7-2002;968.65002;968.65002;945.53998;948.09003;1823000000;948.09003;-0.2694
1-7-2002;989.82001;994.46002;967.42999;968.65002;1425500000;968.65002;0.9317
28-6-2002;990.64001;1001.78998;988.31;989.82001;2117000000;989.82001;0.9389
27-6-2002;973.53003;990.66998;963.73999;990.64001;1908600000;990.64001;0.0360
26-6-2002;976.14001;977.42999;952.91998;973.53003;2014290000;973.53003;-0.7567
25-6-2002;992.71997;1005.88;974.21002;976.14001;1513700000;976.14001;0.1163
24-6-2002;989.14001;1002.10999;970.84998;992.71997;1552600000;992.71997;0.7315
21-6-2002;1006.28998;1006.28998;985.65002;989.14001;1497200000;989.14001;-0.1569
20-6-2002;1019.98999;1023.33002;1004.59003;1006.28998;1389700000;1006.28998;0.7465
19-6-2002;1037.14001;1037.60999;1017.88;1019.98999;1336100000;1019.98999;0.5873
18-6-2002;1036.17004;1040.82996;1030.92004;1037.14001;1193100000;1037.14001;0.7241
17-6-2002;1007.27002;1036.17004;1007.27002;1036.17004;1236600000;1036.17004;-0.0406
14-6-2002;1009.56;1009.56;981.63;1007.27002;1549000000;1007.27002;-1.2285
13-6-2002;1020.26001;1023.46997;1008.12;1009.56;1405500000;1009.56;0.0986
12-6-2002;1013.26001;1021.84998;1002.58002;1020.26001;1795720000;1020.26001;0.4579
11-6-2002;1030.73999;1039.04004;1012.94;1013.59998;1212400000;1013.59998;-0.2844
10-6-2002;1027.53003;1038.18005;1025.44995;1030.73999;1226200000;1030.73999;0.7283
7-6-2002;1029.15002;1033.02002;1012.48999;1027.53003;1341300000;1027.53003;-0.1355
6-6-2002;1049.90002;1049.90002;1026.91003;1029.15002;1601500000;1029.15002;0.0684
5-6-2002;1040.68994;1050.10999;1038.83997;1049.90002;1300100000;1049.90002;0.8669
4-6-2002;1040.68005;1046.06006;1030.52002;1040.68994;1466600000;1040.68994;-0.3827
3-6-2002;1067.14001;1070.73999;1039.90002;1040.68005;1324300000;1040.68005;-0.0004
31-5-2002;1064.66003;1079.93005;1064.66003;1067.14001;1277300000;1067.14001;1.0904
30-5-2002;1067.66003;1069.5;1054.26001;1064.66003;1286600000;1064.66003;-0.1010
29-5-2002;1074.55005;1074.82996;1067.66003;1067.66003;1081800000;1067.66003;0.1222
28-5-2002;1083.81995;1085.97998;1070.31006;1074.55005;996500000;1074.55005;0.2794
24-5-2002;1097.07996;1097.07996;1082.18994;1083.81995;885400000;1083.81995;0.3730
23-5-2002;1086.02002;1097.09998;1080.55005;1097.07996;1192900000;1097.07996;0.5281
22-5-2002;1079.88;1086.02002;1075.64001;1086.02002;1136300000;1086.02002;-0.4400
21-5-2002;1091.88;1099.55005;1079.07996;1079.88;1200500000;1079.88;-0.2462
20-5-2002;1106.58997;1106.58997;1090.60999;1091.88;989800000;1091.88;0.4799
17-5-2002;1098.22998;1106.58997;1096.77002;1106.58997;1274400000;1106.58997;0.5812
16-5-2002;1091.06995;1099.29004;1089.17004;1098.22998;1256600000;1098.22998;-0.3293
15-5-2002;1097.28003;1104.22998;1088.93994;1091.06995;1420200000;1091.06995;-0.2841
14-5-2002;1074.56006;1097.70996;1074.56006;1097.28003;1414500000;1097.28003;0.2465
13-5-2002;1054.98999;1074.83997;1053.90002;1074.56006;1088600000;1074.56006;-0.9087
10-5-2002;1073.01001;1075.43005;1053.93005;1054.98999;1171900000;1054.98999;-0.7982
9-5-2002;1088.84998;1088.84998;1072.22998;1073.01001;1153000000;1073.01001;0.7355
8-5-2002;1049.48999;1088.92004;1049.48999;1088.84998;1502000000;1088.84998;0.6364
7-5-2002;1052.67004;1058.67004;1048.95996;1049.48999;1354700000;1049.48999;-1.5990
6-5-2002;1073.43005;1075.95996;1052.65002;1052.67004;1122600000;1052.67004;0.1314
3-5-2002;1084.56006;1084.56006;1068.89001;1073.43005;1284500000;1073.43005;0.8481
2-5-2002;1086.45996;1091.42004;1079.45996;1084.56006;1364000000;1084.56006;0.4480
1-5-2002;1076.92004;1088.31995;1065.29004;1086.45996;1451400000;1086.45996;0.0760
30-4-2002;1065.44995;1082.62;1063.45996;1076.92004;1628600000;1076.92004;-0.3830
29-4-2002;1076.31995;1078.94995;1063.62;1065.44995;1314700000;1065.44995;-0.4650
26-4-2002;1091.47998;1096.77002;1076.31006;1076.31995;1374200000;1076.31995;0.4408
25-4-2002;1093.14001;1094.35999;1084.81006;1091.47998;1517400000;1091.47998;0.6074
24-4-2002;1100.95996;1108.45996;1092.51001;1093.14001;1373200000;1093.14001;0.0660
23-4-2002;1107.82996;1111.17004;1098.93994;1100.95996;1388500000;1100.95996;0.3096
22-4-2002;1125.17004;1125.17004;1105.62;1107.82996;1181800000;1107.82996;0.2702
19-4-2002;1124.46997;1128.81995;1122.58997;1125.17004;1185000000;1125.17004;0.6745
18-4-2002;1126.06995;1130.48999;1109.29004;1124.46997;1359300000;1124.46997;-0.0270
17-4-2002;1128.37;1133;1123.37;1126.06995;1376900000;1126.06995;0.0618
16-4-2002;1102.55005;1129.40002;1102.55005;1128.37;1341300000;1128.37;0.0886
15-4-2002;1111.01001;1114.85999;1099.41003;1102.55005;1120400000;1102.55005;-1.0053
12-4-2002;1103.68994;1112.77002;1102.73999;1111.01001;1282100000;1111.01001;0.3320
